,Customer ID,Loan Sanction Amount (USD)
384,C-41693,5154.9697
385,C-25244,62292.46
386,C-30176,146499.48
387,C-43024,10802.779
388,C-17663,31947.896
389,C-18116,53323.336
390,C-12113,63312.516
391,C-47954,706.7693
392,C-5056,133090.4
393,C-13678,803.2005
394,C-11014,26809.256
395,C-38944,12184.003
396,C-6241,-14525.469
397,C-3386,23645.574
398,C-44010,1597.1112
399,C-38450,50499.887
400,C-5233,44939.98
401,C-29556,23860.885
402,C-8420,112257.82
403,C-15978,23289.09
404,C-34580,24460.684
405,C-31624,1280.9386
406,C-26269,23664.846
407,C-22174,9732.483
408,C-39257,87143.61
409,C-461,10653.037
410,C-19987,22859.31
411,C-22313,74025.76
412,C-36169,39233.008
413,C-27644,27255.166
414,C-2735,-6197.847
415,C-15015,26654.873
416,C-37397,30198.6
417,C-45699,5358.154
418,C-20783,59378.668
419,C-17847,15854.577
420,C-38305,12099.543
421,C-6907,-2522.4893
422,C-7342,112060.76
423,C-7045,1324.8641
424,C-13221,73797.05
425,C-34726,29733.158
426,C-35426,61804.52
427,C-43748,63068.12
428,C-2888,11542.783
429,C-32967,24385.627
430,C-30265,96446.984
431,C-13304,120537.81
432,C-17380,53976.97
433,C-1417,53845.07
434,C-21679,46280.254
435,C-31369,119999.96
436,C-18618,1928.5447
437,C-15173,36189.824
438,C-25409,94868.836
439,C-22695,82029.74
440,C-7870,102869.04
441,C-35059,89725.414
442,C-19262,74981.914
443,C-10179,52953.996
444,C-10978,-2782.3179
445,C-45858,28195.898
446,C-8194,24355.521
447,C-9392,52396.86
448,C-49795,1327.8679
449,C-23829,24020.941
450,C-28834,10813.026
451,C-45277,47899.746
452,C-11440,18464.746
453,C-10158,52118.594
454,C-46131,1194.3176
455,C-27846,24606.508
456,C-12099,33926.043
457,C-7556,28443.03
458,C-36717,46519.1
459,C-6230,29643.654
460,C-26450,79579.445
461,C-42638,47064.48
462,C-40852,72554.695
463,C-48264,4283.666
464,C-25725,43823.87
465,C-1251,21346.6
466,C-38116,46068.98
467,C-33330,55555.055
468,C-28034,32068.28
469,C-15275,46583.227
470,C-18947,73258.03
471,C-45711,28506.77
472,C-39206,83542.05
473,C-2536,27029.084
474,C-45427,32802.277
475,C-34637,43459.637
476,C-8357,16737.203
477,C-15199,105441.21
478,C-42345,49965.727
479,C-15973,62276.625
480,C-778,739.5097
481,C-18961,14433.899
482,C-31944,61834.04
483,C-49215,24056.766
484,C-15736,20457.004
485,C-39719,41627.367
486,C-21669,93957.75
487,C-12666,104074.97
488,C-108,52091.785
489,C-28294,42865.7
490,C-931,52338.324
491,C-46269,55097.625
492,C-21864,50818.06
493,C-40951,14015.856
494,C-17344,43639.227
495,C-30471,19297.188
496,C-6151,4129.85
497,C-49031,3191.8557
498,C-21146,-2362.2227
499,C-9283,12254.987
500,C-38375,11037.468
501,C-37722,77070.53
502,C-39145,84605.39
503,C-7771,120939.01
504,C-14611,56173.953
505,C-3433,62325.418
506,C-47000,199098.81
507,C-38783,105505.94
508,C-25384,46991.55
509,C-27444,78323.19
510,C-20567,54453.785
511,C-19163,179848.73
512,C-7784,27120.178
513,C-42195,-6064.0806
514,C-15641,61848.51
515,C-45148,58341.375
516,C-49786,75833.125
517,C-43483,160269.03
518,C-31900,31498.023
519,C-7955,19601.373
520,C-49917,-12835.952
521,C-20928,115742.77
522,C-32586,101155.12
523,C-8832,20815.61
524,C-37974,38900.047
525,C-11184,107413.93
526,C-27932,17529.848
527,C-22581,26193.824
528,C-17470,68793.35
529,C-35562,586.49524
530,C-21391,28205.926
531,C-2036,64314.13
532,C-487,24154.254
533,C-49534,5618.586
534,C-27793,110419.92
535,C-47718,21764.848
536,C-28840,-3374.2715
537,C-36903,172887.48
538,C-12478,20534.637
539,C-5497,47799.727
540,C-19291,25345.516
541,C-37414,-19386.398
542,C-27189,47816.574
543,C-23974,3115.5103
544,C-37756,2208.0156
545,C-6994,20497.43
546,C-26676,12480.178
547,C-18336,22068.246
548,C-39249,40932.645
549,C-46594,64799.14
550,C-46668,45618.16
551,C-31182,10556.175
552,C-33649,1403.2314
553,C-795,25448.871
554,C-41864,15740.596
555,C-27099,170832.02
556,C-13217,12125.6045
557,C-27941,31913.426
558,C-26999,50060.81
559,C-19798,56548.617
560,C-872,13225.142
561,C-42696,7169.7617
562,C-4207,41262.74
563,C-5977,32760.074
564,C-37417,79530.71
565,C-27520,96927.48
566,C-28968,45546.688
567,C-7218,102548.164
568,C-9926,133353.81
569,C-6283,15458.784
570,C-28564,196158.2
571,C-7458,41200.13
572,C-23936,66392.76
573,C-15056,45880.957
574,C-48332,-1529.7529
575,C-5285,62224.58
576,C-22261,16612.953
577,C-6649,58744.883
578,C-39775,73341.99
579,C-16672,266.0102
580,C-22949,41196.484
581,C-33264,-4615.466
582,C-18411,21386.795
583,C-2981,23269.139
584,C-25486,28866.086
585,C-20743,55433.832
586,C-43852,96934.33
587,C-33935,-14104.305
588,C-12280,221530.48
589,C-7324,-2642.337
590,C-10229,50759.484
591,C-29096,53049.723
592,C-7146,48096.402
593,C-48092,-2070.6223
594,C-7802,10517.503
595,C-41995,88680.21
596,C-24558,743.49146
597,C-41069,42785.375
598,C-49771,13948.988
599,C-14429,24346.35
600,C-36459,37292.617
601,C-595,781.42926
602,C-37861,24190.969
603,C-5702,29697.58
604,C-48665,5033.5864
605,C-44788,4585.0474
606,C-41968,4100.0977
607,C-28021,24973.457
608,C-49046,147395.66
609,C-48198,3447.6943
610,C-2224,37605.883
611,C-29812,1464.856
612,C-28119,20255.115
613,C-33458,23329.44
614,C-31298,33663.766
615,C-42213,543.0091
616,C-45134,879.9114
617,C-18790,33030.023
618,C-8651,34078.1
619,C-34551,101834.04
620,C-46838,32384.625
621,C-45834,12825.838
622,C-23656,47050.12
623,C-35479,53715.234
624,C-9171,124337.375
625,C-32795,121872.98
626,C-39761,20576.717
627,C-6842,26661.156
628,C-1477,143800.47
629,C-29391,12178.448
630,C-36372,51321.55
631,C-3050,2746.9849
632,C-24135,-3502.0896
633,C-17657,97908.836
634,C-22379,75402.97
635,C-48251,55749.754
636,C-47996,1545.5487
637,C-46600,322.69968
638,C-24183,846.0826
639,C-39134,188348.48
640,C-3569,65412.066
641,C-44734,-2153.0234
642,C-26917,39511.406
643,C-43369,171909.9
644,C-16973,67911.38
645,C-10007,-1496.6049
646,C-45821,4039.797
647,C-22286,31544.826
648,C-26486,40673.28
649,C-4785,92921.055
650,C-41874,319.98343
651,C-40217,151890.03
652,C-21423,56961.26
653,C-42449,5279.809
654,C-34243,86904.27
655,C-3917,140750.81
656,C-33066,76593.96
657,C-2723,1902.6589
658,C-8412,77267.63
659,C-9722,15616.9375
660,C-38320,40171.62
661,C-29676,18884.47
662,C-27298,42881.832
663,C-31654,22324.424
664,C-13695,17447.74
665,C-25086,-2622.738
666,C-44465,-219.13954
667,C-21654,60407.066
668,C-41060,91958.89
669,C-49595,6508.6094
670,C-6280,94032.64
671,C-14434,19332.736
672,C-35331,37180.86
673,C-22482,50568.31
674,C-39569,42496.688
675,C-7791,91364.52
676,C-41802,50226.086
677,C-39667,29141.348
678,C-12376,50940.96
679,C-40906,78011.03
680,C-38890,9678.314
681,C-37476,60076.715
682,C-44946,2399.8354
683,C-44451,17729.932
684,C-37113,152741.03
685,C-29497,23057.46
686,C-19756,1701.627
687,C-10272,22052.504
688,C-32834,113621.94
689,C-23725,66201.08
690,C-10753,1045.6763
691,C-17104,36981.24
692,C-19153,44550.24
693,C-17340,16544.996
694,C-43187,25945.951
695,C-49532,-2213.7075
696,C-9014,21292.72
697,C-19519,65144.902
698,C-46047,4156.652
699,C-32269,13879.37
700,C-808,17326.281
701,C-25924,34058.39
702,C-39832,49564.008
703,C-9670,60253.75
704,C-44243,41548.645
705,C-32273,9706.516
706,C-38474,88503.61
707,C-3098,130710.99
708,C-1113,116196.72
709,C-48460,46904.73
710,C-14158,-3084.947
711,C-16411,132350.9
712,C-26187,113517.23
713,C-47185,48233.535
714,C-5417,55420.54
715,C-43392,10654.043
716,C-13685,231402.84
717,C-18903,30932.895
718,C-44156,-973.5414
719,C-28524,14800.458
720,C-5184,43566.297
721,C-45033,48912.89
722,C-45354,17834.734
723,C-41123,32715.578
724,C-14213,-1764.1388
725,C-6888,44142.055
726,C-14104,150.29358
727,C-2495,25396.188
728,C-17057,105983.44
729,C-5005,52833.617
730,C-41297,54941.613
731,C-42963,-1981.6044
732,C-23251,22677.371
733,C-23970,17893.133
734,C-40714,142334.5
735,C-38859,87476.44
736,C-7112,64053.293
737,C-18928,37950.332
738,C-29862,86062.1
739,C-30212,42761.14
740,C-15021,76823.21
741,C-7476,50985.96
742,C-41600,4144.8564
743,C-32173,42305.53
744,C-38518,35102.277
745,C-38801,46038.76
746,C-1784,101447.625
747,C-24927,130536.68
748,C-39547,20974.982
749,C-43215,49956.24
750,C-23422,2543.491
751,C-37723,44724.203
752,C-29178,96106.69
753,C-19008,114663.71
754,C-5849,14382.219
755,C-6004,72591.414
756,C-23104,23507.758
757,C-24882,57760.91
758,C-43468,10433.923
759,C-35132,77405.914
760,C-42580,5606.9204
761,C-11578,25396.188
762,C-8678,15647.16
763,C-19927,2436.4316
764,C-30508,29281.928
765,C-44874,33969.395
766,C-30186,1830.9731
767,C-10760,15561.87
768,C-26481,80764.234
769,C-46111,3650.6436
770,C-32145,106785.19
771,C-32092,796.6889
772,C-5752,102406.9
773,C-16382,75116.695
774,C-28591,108029.21
775,C-44846,2300.838
776,C-2932,44029.293
777,C-36463,138107.08
778,C-27695,42605.926
779,C-40748,73375.7
780,C-29783,117455.39
781,C-49739,11636.845
782,C-14812,54875.445
783,C-17082,11683.367
784,C-7455,100154.695
785,C-19358,24426.215
786,C-19549,33828.438
787,C-2666,41150.01
788,C-18984,61790.92
789,C-13649,21331.838
790,C-33798,15641.161
791,C-10307,76489.24
792,C-35501,2280.95
793,C-8935,63009.68
794,C-26153,17531.705
795,C-4606,63823.83
796,C-18360,1711.9196
797,C-39333,31290.1
798,C-12426,92055.87
799,C-6408,72132.6
800,C-28868,14529.664
801,C-42593,3839.4705
802,C-31808,10774.6
803,C-32004,50223.0
804,C-32204,43781.324
805,C-12801,92220.13
806,C-25815,57545.566
807,C-22768,52745.965
808,C-32048,55508.453
809,C-19658,21485.16
810,C-26891,9619.404
811,C-40188,3479.3862
812,C-25433,24454.912
813,C-10378,71758.14
814,C-31318,154707.19
815,C-15344,-1334.7474
816,C-22888,-2025.5973
817,C-43034,2766.2002
818,C-19211,50736.316
819,C-10432,1271.1198
820,C-22014,15091.255
821,C-18211,-646.0287
822,C-23968,2162.661
823,C-48530,53115.4
824,C-28054,-1992.5875
825,C-2058,17939.896
826,C-34942,96349.32
827,C-530,60119.56
828,C-38117,13845.831
829,C-20913,25952.883
830,C-47070,3796.6152
831,C-26019,33771.164
832,C-28532,48939.473
833,C-46716,55905.156
834,C-39327,44110.56
835,C-7240,28171.07
836,C-37949,186997.58
837,C-2195,155856.55
838,C-3355,77995.07
839,C-19733,60871.945
840,C-34255,97085.54
841,C-49287,794.1839
842,C-32256,95971.29
843,C-22180,43871.125
844,C-5193,44422.37
845,C-38427,131332.83
846,C-44886,12057.279
847,C-3791,47833.742
848,C-32566,56150.4
849,C-15243,57875.938
850,C-5240,44459.695
851,C-49218,57336.734
852,C-25534,-2429.3132
853,C-47239,3104.9255
854,C-8774,-2896.1733
855,C-16520,125550.73
856,C-20311,87014.76
857,C-3650,1482.1436
858,C-18558,19284.87
859,C-14820,142374.88
860,C-34556,115709.445
861,C-43883,129003.41
862,C-40653,29324.639
863,C-47621,38774.746
864,C-49147,39168.055
865,C-440,147923.31
866,C-11354,21502.217
867,C-15107,56475.152
868,C-24501,46763.457
869,C-28551,28899.38
870,C-28773,29896.719
871,C-36617,131801.02
872,C-28244,-2173.7786
873,C-41307,111342.49
874,C-832,44908.613
875,C-8287,27358.322
876,C-41225,109903.555
877,C-13965,50791.695
878,C-6491,62647.883
879,C-10751,43252.457
880,C-27955,26557.207
881,C-29401,24715.762
882,C-40588,25757.56
883,C-41993,1687.4657
884,C-37136,128938.59
885,C-41702,49487.94
886,C-37634,35640.31
887,C-7102,9480.116
888,C-32351,19456.346
889,C-17461,55097.926
890,C-2675,23101.547
891,C-34452,103240.63
892,C-35202,41730.516
893,C-35085,135444.61
894,C-25301,42380.37
895,C-18247,1276.5878
896,C-26468,31629.717
897,C-39744,6634.8853
898,C-39530,25000.414
899,C-15276,38957.805
900,C-27599,93166.25
901,C-16294,98718.086
902,C-45920,3309.6838
903,C-42972,65011.082
904,C-35739,1657.3842
905,C-48070,3466.244
906,C-20738,67704.11
907,C-20164,1248.2098
908,C-35798,96618.516
909,C-36931,45865.367
910,C-40067,62096.965
911,C-7033,11084.341
912,C-2919,54679.043
913,C-92,1707.246
914,C-10068,100612.555
915,C-30148,115598.91
916,C-6804,15717.932
917,C-41739,105410.45
918,C-26448,12286.592
919,C-5100,50599.24
920,C-6401,153055.06
921,C-14665,48868.113
922,C-3315,23738.055
923,C-20983,49564.453
924,C-32947,3542.7576
925,C-13518,35431.926
926,C-46708,3027.023
927,C-6592,153588.22
928,C-12364,21290.28
929,C-46390,11531.5625
930,C-7318,33480.78
931,C-12943,26042.4
932,C-2883,47023.766
933,C-25283,24322.59
934,C-1618,-2916.4675
935,C-1271,12320.662
936,C-40127,55632.125
937,C-36317,24522.064
938,C-48952,52707.426
939,C-29240,80859.14
940,C-25093,1730.0618
941,C-12384,50271.438
942,C-34319,33370.58
943,C-47779,2450.269
944,C-12945,60210.51
945,C-36060,-1512.0847
946,C-5616,-5290.828
947,C-41883,4357.6826
948,C-9039,39484.04
949,C-25362,81495.62
950,C-13744,66045.61
951,C-25047,177175.39
952,C-13036,97323.086
953,C-36276,21053.244
954,C-2811,1791.891
955,C-21717,118395.95
956,C-46988,1992.6847
957,C-48564,866.874
958,C-24260,47344.684
959,C-39925,13948.988
960,C-16917,104532.13
961,C-27996,12227.597
962,C-37659,41538.867
963,C-15746,109210.4
964,C-46465,-5071.925
965,C-40197,44823.47
966,C-39307,119488.96
967,C-23902,44337.285
968,C-19873,13768.166
969,C-47956,52761.0
970,C-13273,-2134.6763
971,C-48337,91562.83
972,C-19271,4910.21
973,C-37094,68178.16
974,C-684,36137.523
975,C-24481,34362.37
976,C-12590,88467.92
977,C-25151,59820.47
978,C-17381,82059.96
979,C-38274,40668.855
980,C-1011,66219.375
981,C-1000,104344.06
982,C-20171,21965.844
983,C-17936,141774.61
984,C-44657,1565.9457
985,C-41222,79211.77
986,C-42705,47024.156
987,C-36949,121570.805
988,C-17725,45757.043
989,C-41035,-2265.0325
990,C-2207,41.29091
991,C-11404,45041.562
992,C-1537,9967.551
993,C-49111,108227.04
994,C-39701,55681.473
995,C-14555,17575.57
996,C-23018,45226.797
997,C-26076,54297.465
998,C-1292,69997.42
999,C-33809,22852.6
1000,C-34753,13213.754
1001,C-30028,68596.62
1002,C-33662,51565.836
1003,C-11938,53684.9
1004,C-15030,96884.76
1005,C-25693,127402.56
1006,C-39706,39354.074
1007,C-49830,-488.66357
1008,C-1215,42427.86
1009,C-22515,14495.803
1010,C-34267,54069.195
1011,C-31199,27328.383
1012,C-46236,12517.748
1013,C-16259,11707.516
1014,C-2730,44592.492
1015,C-17938,88689.484
1016,C-41242,59289.934
1017,C-378,50589.61
1018,C-15648,4117.016
1019,C-48043,92880.664
1020,C-3027,117339.69
1021,C-43249,24329.62
1022,C-26632,-1965.8563
1023,C-16859,66063.37
1024,C-23573,118602.54
1025,C-21886,-2238.9539
1026,C-31479,63380.92
1027,C-37999,-12953.594
1028,C-45817,75336.96
1029,C-19011,7156.76
1030,C-36365,23954.94
1031,C-7416,42264.824
1032,C-677,22212.227
1033,C-10599,19023.008
1034,C-1103,21005.752
1035,C-44906,9936.449
1036,C-16804,54861.11
1037,C-38012,32418.562
1038,C-13987,189634.8
1039,C-19544,99624.08
1040,C-3349,-4023.0615
1041,C-38961,48692.39
1042,C-38259,18964.082
1043,C-3666,23069.42
1044,C-36638,64438.406
1045,C-18230,181553.25
1046,C-11076,43290.203
1047,C-31226,43440.996
1048,C-9312,29901.162
1049,C-10276,103694.93
1050,C-44905,4386.8223
1051,C-33369,68012.81
1052,C-34166,39102.402
1053,C-45310,81817.266
1054,C-30527,111060.766
1055,C-4627,15869.285
1056,C-38353,124027.88
1057,C-4974,104955.69
1058,C-32095,138.96086
1059,C-13549,14075.974
1060,C-43862,-1265.3218
1061,C-6688,105301.44
1062,C-5382,44262.13
1063,C-36550,55570.684
1064,C-721,47744.348
1065,C-1325,116932.54
1066,C-21418,118280.484
1067,C-33431,22227.787
1068,C-25465,-1617.5464
1069,C-6769,31671.236
1070,C-35667,59619.14
1071,C-22630,19746.988
1072,C-1353,44853.688
1073,C-15765,11610.433
1074,C-47348,5149.3
1075,C-26798,3933.997
1076,C-1575,133464.8
1077,C-26100,1556.9229
1078,C-41279,24157.475
1079,C-43388,3473.1843
1080,C-11917,107125.68
1081,C-6243,42659.4
1082,C-1218,44965.6
1083,C-20692,-56.2901
1084,C-37907,44380.676
1085,C-20591,102406.18
1086,C-34997,21223.41
1087,C-28405,35238.797
1088,C-45810,13833.037
1089,C-10134,-2140.7732
1090,C-9407,23740.764
1091,C-19191,50762.4
1092,C-15367,19045.145
1093,C-44513,60477.15
1094,C-34160,26623.434
1095,C-1599,31188.967
1096,C-31067,30811.701
1097,C-25519,42604.88
1098,C-19761,12186.109
1099,C-1661,91352.82
1100,C-2525,39197.484
1101,C-25450,23342.664
1102,C-34833,21711.12
1103,C-8560,2290.277
1104,C-20590,23650.541
1105,C-9890,82487.74
1106,C-3415,15102.841
1107,C-7271,30340.06
1108,C-948,21312.684
1109,C-2910,92378.31
1110,C-16054,60023.05
1111,C-21243,10658.688
1112,C-22407,143175.17
1113,C-46383,3777.9395
1114,C-48914,3353.2834
1115,C-16529,-2437.1802
1116,C-24655,1683.2993
1117,C-1926,93605.02
1118,C-32783,56047.496
1119,C-30296,24527.846
1120,C-23621,74155.586
1121,C-35554,-12671.378
1122,C-46261,43934.824
1123,C-34107,30000.373
1124,C-42655,2512.6243
1125,C-39873,49227.51
1126,C-17191,-340.83115
1127,C-23048,66786.6
1128,C-33498,27526.326
1129,C-906,29580.684
1130,C-7234,23978.23
1131,C-18364,31886.564
1132,C-4434,64366.984
1133,C-23245,118392.09
1134,C-17033,131710.14
1135,C-2814,74653.445
1136,C-39554,52877.86
